,sim,right
0,0.995,0.9916666666666667
1,0.9711111111111108,0.8541666666666669
2,0.938611111111111,0.7041666666666663
3,0.9163888888888888,0.6725
4,0.8991666666666664,0.6291666666666669
5,0.9005555555555557,0.6525000000000003
6,0.9191666666666662,0.7333333333333333
7,0.9327777777777777,0.8074999999999999
8,0.9505555555555554,0.8400000000000002
9,0.9555555555555554,0.8933333333333333
10,0.9813888888888889,0.9525
11,0.9891666666666667,0.98
12,0.9969444444444444,0.9899999999999999
13,0.9930555555555555,0.9866666666666666
14,0.9983333333333333,0.995
15,1.0,1.0
16,0.9997222222222223,0.9983333333333334
17,0.9991666666666665,0.9983333333333334
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
