,sim,right
0,1.0,1.0
1,0.9241666666666661,0.8325
2,0.811666666666666,0.630833333333333
3,0.7263888888888882,0.550833333333333
4,0.6255555555555555,0.445
5,0.5952777777777776,0.4116666666666666
6,0.621111111111111,0.4791666666666666
7,0.7222222222222221,0.5966666666666666
8,0.810833333333333,0.6783333333333331
9,0.8241666666666662,0.7133333333333333
10,0.9127777777777771,0.835
11,0.9588888888888887,0.9175
12,0.9913888888888889,0.9758333333333333
13,0.9888888888888887,0.9675
14,0.9966666666666666,0.99
15,0.9988888888888888,0.9966666666666667
16,0.9988888888888888,0.9966666666666666
17,0.9988888888888888,0.9966666666666666
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
