,sim,right
0,0.972222222222224,0.833333333333333
1,0.9172222222222224,0.61
2,0.8691666666666664,0.43416666666666665
3,0.836666666666667,0.3525000000000001
4,0.8027777777777781,0.2583333333333333
5,0.7833333333333335,0.2266666666666668
6,0.7605555555555555,0.18833333333333338
7,0.7588888888888887,0.2083333333333334
8,0.7586111111111112,0.23749999999999996
9,0.7583333333333333,0.2824999999999999
10,0.7786111111111116,0.31999999999999995
11,0.798888888888889,0.35916666666666663
12,0.8391666666666668,0.45166666666666666
13,0.856388888888889,0.5008333333333332
14,0.893888888888889,0.5858333333333332
15,0.9113888888888891,0.6474999999999999
16,0.9269444444444449,0.7041666666666666
17,0.9577777777777784,0.7874999999999998
18,0.9691666666666668,0.8408333333333334
19,0.9877777777777785,0.9283333333333329
20,1.0,1.0
