,sim,right
0,1.0,1.0
1,0.9713888888888885,0.8408333333333333
2,0.9380555555555552,0.6633333333333331
3,0.9161111111111109,0.6408333333333331
4,0.9016666666666666,0.5933333333333334
5,0.8983333333333335,0.6216666666666667
6,0.9197222222222219,0.7191666666666664
7,0.9327777777777777,0.7933333333333333
8,0.9505555555555556,0.8333333333333335
9,0.9577777777777777,0.9066666666666667
10,0.981111111111111,0.9491666666666667
11,0.9886111111111113,0.9716666666666666
12,0.9969444444444444,0.9899999999999999
13,0.9933333333333334,0.985
14,0.9986111111111111,0.995
15,0.9994444444444445,0.9983333333333333
16,0.9994444444444445,0.9983333333333334
17,0.9997222222222223,0.9983333333333334
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
